Name,Cat,SubCat,OSS,Github,Series,$$$ (M),Started,HQ,Change in 2020,Website,Description,IF ACQ
Modin,Data pipeline,Data processing,OSS,https://github.com/modin-project/modin,,0,2018,,,https://github.com/modin-project/modin,"Modin uses Ray to provide an effortless way to speed up your pandas notebooks, scripts, and libraries. Unlike other distributed DataFrame libraries, Modin provides seamless integration and compatibility with existing pandas code. Even using the DataFrame constructor is identical.",
Apache Hudi,Data pipeline,Data warehouse,OSS,https://github.com/apache/hudi,Uber,,2016,Bay Area,,https://hudi.apache.org/,Apache Hudi ingests & manages storage of large analytical datasets over DFS (hdfs or cloud stores),
Delta Lake,Data pipeline,Data warehouse,OSS,https://github.com/delta-io/delta,Databricks,,2019,Bay Area,,https://delta.io/,Delta Lake is an open-source storage layer that brings ACID transactions to Apache Spark™ and big data workloads.,
Apache Druid,Data pipeline,Database/Query,OSS,https://github.com/apache/druid,Imply,,2012,Bay Area,,https://druid.apache.org/,Apache Druid is a high performance real-time analytics database,
Presto,Data pipeline,Database/Query,OSS,https://github.com/prestodb/presto,Linux Foundation,,2012,Bay Area,,https://prestodb.io/,Presto is an open source distributed SQL query engine for running interactive analytic queries against data sources of all sizes ranging from gigabytes to petabytes.,
Pilosa,Data pipeline,Database/Query,OSS,https://github.com/pilosa/pilosa,Seed,3.7,2017,Texas,,https://www.pilosa.com/,"Pilosa is an open source, distributed bitmap index that dramatically accelerates continuous analysis across multiple, massive data sets.",
TerminusDB,Data pipeline,Database/Query,OSS,https://github.com/terminusdb/terminusdb,Seed,1.2,2017,Ireland,,https://terminusdb.com/,TerminusDB is an open source model driven graph database for knowledge graph representation designed specifically for the web-age.,
AresDB,Data pipeline,Database/Query,OSS,https://github.com/uber/aresdb,Uber,,2019,Bay Area,,https://github.com/uber/aresdb,A GPU-powered real-time analytics storage and query engine.,
SQLFlow,Data pipeline,Database/Query,OSS,https://github.com/sql-machine-learning/sqlflow,Alibaba,,2019,China,,https://sqlflow.org,"Extends SQL to support AI. Extract knowledge from Data. Currently support MySQL, Apache Hive, Alibaba MaxCompute, XGBoost and TensorFlow.",
Milvus,Data pipeline,Database/Query,OSS,https://github.com/milvus-io/milvus,Zilliz,,2019,China,,https://milvus.io/,Milvus is an open source similarity search engine for massive feature vectors. Designed with heterogeneous computing architecture for the best cost efficiency. Searches over billion-scale vectors take only milliseconds with minimum computing resources.,
Vearch,Data pipeline,Database/Query,OSS,https://github.com/vearch/vearch,,0,2019,China,,https://vearch.github.io/,Vearch is the vector search infrastructure for deeping learning and AI applications.,
Amundsen,Data pipeline,Database/Query,OSS,https://github.com/amundsen-io/amundsen,Lyft,,2019,Bay Area,,,"Amundsen is a metadata driven application for improving the productivity of data analysts, data scientists and engineers when interacting with data.",
FEAST,Data pipeline,Feature engineering,OSS,https://github.com/feast-dev/feast,,0,2019,Asia,,https://feast.dev/,Feast (Feature Store) is a tool for managing and serving machine learning features. Feast is the bridge between models and data.,
Apache ORC,Data pipeline,File format,OSS,https://github.com/apache/orc,Apache,,2013,,,https://orc.apache.org/,"the smallest, fastest columnar storage for Hadoop workloads.",
Parquet,Data pipeline,File format,OSS,https://github.com/apache/parquet-mr,"Twitter, Cloudera",,2013,Bay Area,,,"Apache Parquet is a columnar storage format available to any project in the Hadoop ecosystem, regardless of the choice of data processing framework, data model or programming language.",
LabelImg,Data pipeline,Labeling,OSS,https://github.com/tzutalin/labelImg,,0,2016,Canada,,https://github.com/tzutalin/labelImg,LabelImg is a graphical image annotation tool and label object bounding boxes in images,
Snorkel,Data pipeline,Labeling,OSS,https://github.com/snorkel-team/snorkel,Snorkel AI,,2016,Bay Area,,https://snorkel.ai,Programmatically Building and Managing Training Data,
Heartex Label Studio,Data pipeline,Labeling,OSS,https://github.com/heartexlabs/label-studio,Seed,0.15,2018,Bay Area,,https://www.heartex.ai/,Label Studio is a multi-type data labeling and annotation tool with standardized output format ,
Doccano,Data pipeline,Labeling,OSS,https://github.com/doccano/doccano,,0,2018,Tokyo,,https://doccano.herokuapp.com/,"Text annotation for Human. Just create project, upload data and start annotation. You can build dataset in hours.",
Prometheus,Data pipeline,Monitoring,OSS,https://github.com/prometheus/prometheus,Apache/PromLabs,,2012,Germany,,https://prometheus.io/,"An open-source monitoring system with a dimensional data model, flexible query language, efficient time series database and modern alerting approach.",
Pachyderm,Data pipeline,Versioning,OSS,https://github.com/pachyderm/pachyderm,B,28.1,2014,Bay Area,Raised 16M,https://www.pachyderm.com/,"Data Lineage with End-to-End Pipelines on Kubernetes, engineered for the enterprise. And… It's open source!",
Git LFS,Data pipeline,Versioning,OSS,https://github.com/git-lfs/git-lfs,"Atlassian, GitHub",,2014,Remote,,https://git-lfs.github.com/,"Git Large File Storage (LFS) replaces large files such as audio samples, videos, datasets, and graphics with text pointers inside Git, while storing the file contents on a remote server like GitHub.com or GitHub Enterprise.",
Quilt Data,Data pipeline,Versioning,OSS,https://github.com/quiltdata/quilt,Seed,4.2,2015,Bay Area,,https://quiltdata.com/,Quilt is a versioned data portal for AWS ,
Qri,Data pipeline,Versioning,OSS,https://github.com/qri-io/qri,,0,2016,NYC,,https://qri.io/,"Bigger than a spreadsheet, smaller than a database, datasets are all around us. Use Qri to browse, download, create, fork, & publish datasets across a network of peers.",
DVC - Iterative.ai,Data pipeline,Versioning,OSS,https://github.com/iterative/dvc,,3.9,2017,Bay Area,,https://dvc.org/,"Open-source version control system for Data Science and Machine Learning projects. Git-like experience to organize your data, models, and experiments.",
Facets,Data pipeline,Visualization,OSS,https://github.com/PAIR-code/facets,Google,,2017,Bay Area,,https://github.com/PAIR-code/facets,Facets: An Open Source Visualization Tool for Machine Learning Training Data,
Luigi,Infrastructure,Workflow orchestration,OSS,https://github.com/spotify/luigi,Spotify,,2012,Sweden,,,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in.",
Airflow,Infrastructure,Workflow orchestration,OSS,https://github.com/apache/airflow,Airbnb,,2015,Bay Area,,https://airflow.apache.org/,"Airflow is a platform created by community to programmatically author, schedule and monitor workflows.",
Backend AI,Infrastructure,Workflow orchestration,OSS,https://github.com/lablup/backend.ai,,0,2016,Seoul,,https://www.backend.ai,Backend.AI: Minute-made GPU clustering solution for Machine Learning.,
Cadence,Infrastructure,Workflow orchestration,OSS,https://github.com/uber/cadence,Uber,,2017,Bay Area,,,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way.",
Prefect,Infrastructure,Workflow orchestration,OSS,https://github.com/PrefectHQ/prefect,A,14.1,2018,DC,Raised 11.6M,https://www.prefect.io/,The Global Leader in Dataflow Automation,
Metaflow,Infrastructure,Workflow orchestration,OSS,https://github.com/Netflix/metaflow,Netflix,,2019,Bay Area,,https://metaflow.org/,"Metaflow makes it quick and easy to build and manage real-life data science projects. Metaflow is built for data scientists, not just for machines.",metaflow.org
Flyte,Infrastructure,Workflow orchestration,OSS,https://github.com/flyteorg/flyte,Lyft,,2019,Bay Area,Prepared to become a startup,https://flyte.org/,"Lyft’s Cloud Native Machine Learning and Data Processing Platform, Now Open Sourced",
CleverHans,Modeling & Training,Adversarial robustness,OSS,https://github.com/cleverhans-lab/cleverhans,Google,,2017,Bay Area,,http://www.cleverhans.io/,"An adversarial example library for constructing attacks, building defenses, and benchmarking both",
Streamlit,Modeling & Training,App interface,OSS,https://github.com/streamlit/streamlit,A,27,2018,Bay Area,Raised 21M,https://www.streamlit.io/,"Streamlit is an open-source app framework for Machine Learning and Data Science teams. Create beautiful data apps in hours, not weeks. All in pure Python.",
TPOT,Modeling & Training,AutoML,OSS,https://github.com/EpistasisLab/tpot,UPen,,2016,Pennsylvania,,,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,
TransmogrifAI,Modeling & Training,AutoML,OSS,https://github.com/salesforce/TransmogrifAI,Salesforce,,2017,Bay Area,,,"an AutoML library for building modular, reusable, strongly typed machine learning workflows on Apache Spark with minimal hand-tuning ",
DAWNBench,Modeling & Training,Benchmarking,OSS,https://github.com/stanford-futuredata/dawn-bench-models,Stanford,,2018,Bay Area,,,DAWNBench is a benchmark suite for end-to-end deep learning training and inference.,
MLPerf,Modeling & Training,Benchmarking,OSS,https://github.com/mlcommons/training,,,2018,Bay Area,,,"Fair and useful benchmarks for measuring training and inference performance of ML hardware, software, and services.",
Paddle,Modeling & Training,Distributed,OSS,https://github.com/PaddlePaddle/Paddle,Baidu,,2016,China,,,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice ,
Ray,Modeling & Training,Distributed,OSS,https://github.com/ray-project/ray,UC Berkeley,,2016,Bay Area,,,Ray is a fast and simple framework for building and running distributed applications.,
Angel ML,Modeling & Training,Distributed,OSS,https://github.com/Angel-ML/angel,Tencent/Peking University,,2017,Shenzhen,,,A Flexible and Powerful Parameter Server for large-scale machine learning,
Horovod,Modeling & Training,Distributed,OSS,https://github.com/horovod/horovod,Uber,,2017,Bay Area,,,"Horovod is a distributed deep learning training framework for TensorFlow, Keras, PyTorch, and Apache MXNet. The goal of Horovod is to make distributed deep learning fast and easy to use.",
euler,Modeling & Training,Distributed,OSS,https://github.com/alibaba/euler,Alibaba,,2018,China,,,A distributed graph deep learning framework,
Tensorboard,Modeling & Training,Experiment tracking,OSS,https://github.com/tensorflow/tensorboard,Google,,2015,Bay Area,,https://www.tensorflow.org/,"TensorBoard is a tool for providing the measurements and visualizations needed during the machine learning workflow. It enables tracking experiment metrics like loss and accuracy, visualizing the model graph, projecting embeddings to a lower dimensional space, and much more.",
Allegro AI/TRAINS,Modeling & Training,Experiment tracking,OSS,https://github.com/allegro-ai/trains,A,11,2016,Israel,,https://allegro.ai/,Deep learning platform tailored for computer vision. Allegro AI offers the first end-to-end machine learning product life-cycle management solution.,
tsfresh,Modeling & Training,Feature engineering,OSS,https://github.com/blue-yonder/tsfresh,Blue Yonder,,2008,Germany,,https://blueyonder.com/,Automatic extraction of relevant features from time series,
Boruta,Modeling & Training,Feature engineering,OSS,https://github.com/scikit-learn-contrib/boruta_py,scikit-learn,,2010,,,https://github.com/scikit-learn-contrib/boruta_py,Python implementations of the Boruta all-relevant feature selection method.,
Featuretools,Modeling & Training,Feature engineering,OSS,https://github.com/alteryx/featuretools,Alteryx,,2018,LA,,https://www.featuretools.com/,An open source python library for automated feature engineering,
Theano,Modeling & Training,Framework,OSS,https://github.com/Theano/Theano,MILA,,2008,Canada,,,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently",
Apache Mahout,Modeling & Training,Framework,OSS,https://github.com/apache/mahout,Apache,,2008,Remote,,https://mahout.apache.org/,"Apache Mahout(TM) is a distributed linear algebra framework and mathematically expressive Scala DSL designed to let mathematicians, statisticians, and data scientists quickly implement their own algorithms. Apache Spark is the recommended out-of-the-box distributed back-end, or can be extended to other distributed backends.",
scikit-learn,Modeling & Training,Framework,OSS,https://github.com/scikit-learn/scikit-learn,,0,2010,Remote,,https://scikit-learn.org/stable/,Machine Learning in Python,
MLlib,Modeling & Training,Framework,OSS,https://github.com/apache/spark,Spark,,2010,,,https://spark.apache.org/mllib/,MLlib is Apache Spark's scalable machine learning library.,
Accord,Modeling & Training,Framework,OSS,https://github.com/accord-net/framework,,0,2012,France,Archived,http://accord-framework.net/,"Machine learning, computer vision, statistics and general scientific computing for .NET",
Gensim,Modeling & Training,Framework,OSS,https://github.com/RaRe-Technologies/gensim,RaRe Technologies,,2012,Czech,,https://radimrehurek.com/gensim/,"Topic Modelling for Humans. Gensim is a Python library for topic modelling, document indexing and similarity retrieval with large corpora. Target audience is the natural language processing (NLP) and information retrieval (IR) community.",
Caffe,Modeling & Training,Framework,OSS,https://github.com/BVLC/caffe,Berkeley,,2013,Bay Area,,,Caffe: a fast open framework for deep learning.,
XGBoost,Modeling & Training,Framework,OSS,https://github.com/dmlc/xgboost,DMLC,,2014,,,,"XGBoost is an optimized distributed gradient boosting library designed to be highly efficient, flexible and portable. It implements machine learning algorithms under the Gradient Boosting framework.",
TensorFlow,Modeling & Training,Framework,OSS,https://github.com/tensorflow/tensorflow,Google,,2015,Bay Area,,https://www.tensorflow.org/,"An end-to-end open source machine learning platform for everyone. Discover TensorFlow's flexible ecosystem of tools, libraries and community resources",
PyTorch,Modeling & Training,Framework,OSS,https://github.com/pytorch/pytorch,Facebook,,2015,Bay Area,,https://pytorch.org/,"Tools & Libraries. A rich ecosystem of tools and libraries extends PyTorch and supports development in computer vision, NLP and more",
Apache MXNet,Modeling & Training,Framework,OSS,https://github.com/apache/incubator-mxnet,DMLC,,2015,,,,A flexible and efficient library for deep learning.,
Chainer,Modeling & Training,Framework,OSS,https://github.com/chainer/chainer,Preferred Networks,,2015,Tokyo,,https://chainer.org/,"A Powerful, Flexible, and Intuitive Framework for Neural Networks",
LightGBM,Modeling & Training,Framework,OSS,https://github.com/microsoft/LightGBM,Microsoft,,2016,Seattle,,https://github.com/microsoft/LightGBM,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.",
Turi Create,Modeling & Training,Framework,OSS,https://github.com/apple/turicreate,Apple,,2018,Bay Area,,https://apple.github.io/turicreate/docs/api/,Turi Create simplifies the development of custom machine learning models.,
Pythia,Modeling & Training,Framework,OSS,https://github.com/allenai/pythia,Facebook,,2018,Bay Area,,,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR),
ML.NET,Modeling & Training,Framework,OSS,https://github.com/dotnet/machinelearning,Microsoft,,2018,Seattle,,https://dotnet.microsoft.com/,ML.NET is an open source and cross-platform machine learning framework for .NET,
Alink,Modeling & Training,Framework,OSS,https://github.com/alibaba/Alink,Alibaba,,2018,China,,,"Alink is the Machine Learning algorithm platform based on Flink, developed by the PAI team of Alibaba computing platform.",
JAX,Modeling & Training,Framework,OSS,https://github.com/google/jax,Google,,2018,Bay Area,,,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",
Catalyst,Modeling & Training,Framework,OSS,https://github.com/catalyst-team/catalyst,,0,2018,Russia,,https://catalyst-team.github.io/catalyst/,"PyTorch framework for Deep Learning research and development. It focuses on reproducibility, rapid experimentation, and codebase reuse so you can create something new rather than write another regular train loop.",
Ludwig,Modeling & Training,Framework,OSS,https://github.com/ludwig-ai/ludwig,Uber,,2019,Bay Area,,http://ludwig.ai,Ludwig is a toolbox built on top of TensorFlow that allows to train and test deep learning models without the need to write code.,
FedAI (FATE),Modeling & Training,Framework,OSS,https://github.com/FederatedAI/FATE,Webank,,2019,Shenzhen,,,"FATE (Federated AI Technology Enabler) is an open-source project initiated by Webank's AI Department to provide a secure computing framework to support the federated AI ecosystem. It implements secure computation protocols based on homomorphic encryption and multi-party computation (MPC). It supports federated learning architectures and secure computation of various machine learning algorithms, including logistic regression, tree-based algorithms, deep learning and transfer learning.",
PyTorch Lightning,Modeling & Training,Framework,OSS,https://github.com/PyTorchLightning/pytorch-lightning,Grid AI,,2019,NYC,,https://www.pytorchlightning.ai/,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",
Mindspore,Modeling & Training,Framework,OSS,https://github.com/mindspore-ai/mindspore,Huawei,,2020,Shenzhen,New,,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios",
PlaidML,Modeling & Training,Hardware compatiblity,OSS,https://github.com/plaidml/plaidml,Intel,,2017,Bay Area,,,PlaidML is a framework for making deep learning work everywhere,
talos,Modeling & Training,Hyperparameter tuning,OSS,https://github.com/autonomio/talos,Autonomio,,2018,Finland,,https://autonom.io,"Hyperparameter Optimization for TensorFlow, Keras and PyTorch",
Katib,Modeling & Training,Hyperparameter tuning,OSS,https://github.com/kubeflow/katib,Kubeflow,,2018,Bay Area,,,"Katib is a Kubernetes Native System for Hyperparameter Tuning and Neural Architecture Search. The system is inspired by Google vizier and supports multiple ML/DL frameworks (e.g. TensorFlow, MXNet, and PyTorch).",
LIME,Modeling & Training,Interpretability,OSS,https://github.com/marcotcr/lime,University of Washington,,2016,Seattle,,,Lime: Explaining the predictions of any machine learning classifier,
SHAP,Modeling & Training,Interpretability,OSS,https://github.com/slundberg/shap,University of Washington,,2017,Seattle,,,A game theoretic approach to explain the output of any machine learning model.,
Lucid,Modeling & Training,Interpretability,OSS,https://github.com/tensorflow/lucid,Google,,2018,Bay Area,,,A collection of infrastructure and tools for research in neural network interpretability,
InterpretML,Modeling & Training,Interpretability,OSS,https://github.com/interpretml/interpret,Microsoft,,2019,Seattle,,,Fit interpretable machine learning models. Explain blackbox machine learning,
AIMET,Modeling & Training,Model compression,OSS,https://github.com/quic/aimet,Qualcomm,,2020,San Diego,New,https://github.com/quic/aimet,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.,
spaCy,Modeling & Training,NLP,OSS,https://github.com/explosion/spaCy,Explosion AI,0,2014,Germany,,https://spacy.io/,"spaCy is a free open-source library for Natural Language Processing in Python. It features NER, POS tagging, dependency parsing, word vectors and more.",
AllenNLP,Modeling & Training,NLP,OSS,https://github.com/allenai/allennlp,Incubator,,2016,Seattle,,https://allennlp.org/,"AllenNLP is an open-source NLP research library, built on PyTorch.",
fastText,Modeling & Training,NLP,OSS,https://github.com/facebookresearch/fastText,Facebook,,2016,Bay Area,,,Library for fast text representation and classification.,
OpenSeq2Seq,Modeling & Training,NLP,OSS,https://github.com/NVIDIA/OpenSeq2Seq,NVIDIA,,2017,Bay Area,,,"Toolkit for efficient experimentation with Speech Recognition, Text2Speech and NLP",
flair,Modeling & Training,NLP,OSS,https://github.com/flairNLP/flair,Zalando,,2018,Germany,,,A very simple framework for state-of-the-art Natural Language Processing (NLP),
Rasa,Modeling & Training,NLU,OSS,https://github.com/RasaHQ/rasa,B,40.1,2016,Germany,Raised 26M,https://rasa.com/,Build contextual AI assistants and chatbots in text and voice with our open source machine learning framework. Scale it with our enterprise grade platform.,
NeMo,Modeling & Training,NLU,OSS,https://github.com/NVIDIA/NeMo,NVIDIA,,2019,Bay Area,,,NeMo: a toolkit for conversational AI,
papermill,Modeling & Training,Notebook,OSS,https://github.com/nteract/papermill,Nteract,,2017,Texas,,https://papermill.readthedocs.io/en/latest/,Papermill is a tool for parameterizing and executing Jupyter Notebooks.,
nteract,Modeling & Training,Notebook,OSS,https://github.com/nteract/nteract,Nteract,,2015,Texas,,https://nteract.io/,"nteract is an open-source organization committed to creating fantastic interactive computing experiences that allow people to collaborate with ease. We build SDKs, applications, and libraries that help you and your team make the most of interactive (particularly Jupyter) notebooks and REPLs.",
Vowpal Wabbit,Modeling & Training,Online learning,OSS,https://github.com/VowpalWabbit/vowpal_wabbit,Microsoft,,2010,,,https://vowpalwabbit.org/,"Vowpal Wabbit provides a fast, flexible, online, and active learning solution that empowers you to solve complex interactive machine learning problems",
River,Modeling & Training,Online learning,OSS,https://github.com/online-ml/river,,0,2017,France,Changed name from Creme,https://riverml.xyz/,A Python package for online/streaming machine learning.,
BentoML,Modeling & Training,Pretrained models,OSS,https://github.com/bentoml/BentoML,,0,2018,Bay Area,,https://bentoml.com/,"BentoML makes it easy to serve and deploy machine learning models in the cloud. It is an open source framework for building cloud-native model serving services. BentoML supports most popular ML training frameworks and deployment platforms, including major cloud providers and docker/kubernetes.",
GluonCV,Modeling & Training,Pretrained models,OSS,https://github.com/dmlc/gluon-cv,Microsoft,,2018,Seattle,,https://gluon-cv.mxnet.io/,"GluonCV provides implementations of state-of-the-art (SOTA) deep learning algorithms in computer vision. It aims to help engineers, researchers, and students quickly prototype products, validate new ideas and learn computer vision.",
PySyft,Modeling & Training,Privacy,OSS,https://github.com/OpenMined/PySyft,OpenMined,,2017,UK,,,"PySyft is a Python library for secure and private Deep Learning. PySyft decouples private data from model training, using Federated Learning, Differential Privacy, and Multi-Party Computation (MPC) within the main Deep Learning frameworks like PyTorch and TensorFlow.",
Pyro,Modeling & Training,Programming language,OSS,https://github.com/pyro-ppl/pyro,Uber,,2017,Bay Area,,,"Pyro is a flexible, scalable deep probabilistic programming library built on PyTorch",
Replicate,Modeling & Training,Versioning,OSS,https://github.com/replicate/keepsake,,0,2020,Bay Area,New,https://replicate.ai,Version control for machine learning,
Netron,Modeling & Training,Visualization,OSS,https://github.com/lutzroeder/netron,,0,2011,Seattle,,https://netron.app/,"Netron is a viewer for neural network, deep learning and machine learning models.",
Gradio,Serving,App interface,OSS,https://github.com/gradio-app/gradio,,0,2018,Bay Area,1.0 released,https://gradio.app/,"Gradio allows you to quickly create customizable UI components around your TensorFlow or PyTorch models, or even arbitrary Python functions. Mix and match",
Argo,Serving,CI/CD,OSS,https://github.com/argoproj/argo-workflows,Intuit,,2018,Bay Area,,https://argoproj.github.io/,"Get stuff done with Kubernetes. Open source Kubernetes native workflows, events, CI and CD",
MMdnn,Serving,Compatibility,OSS,https://github.com/microsoft/MMdnn,Microsoft,,2017,Seattle,,,"MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML.",
ONNX,Serving,Compatibility,OSS,https://github.com/onnx/onnx,,,2018,,,https://onnx.ai/,"ONNX is an open format built to represent machine learning models. ONNX defines a common set of operators - the building blocks of machine learning and deep learning models - and a common file format to enable AI developers to use models with a variety of frameworks, tools, runtimes, and compilers.",
Kubeflow,Serving,Deployment,OSS,https://github.com/kubeflow/kubeflow,Google,,2018,Bay Area,,https://www.kubeflow.org/,"The Kubeflow project is dedicated to making deployments of machine learning (ML) workflows on Kubernetes simple, portable and scalable. Our goal is not to recreate other services, but to provide a straightforward way to deploy best-of-breed open-source systems for ML to diverse infrastructures. Anywhere you are running Kubernetes, you should be able to run Kubeflow.",
TensorFlow Extended,Serving,Deployment,OSS,https://github.com/tensorflow/tfx,Google,,2019,Bay Area,,https://www.tensorflow.org/tfx,TensorFlow Extended (TFX) is an end-to-end platform for deploying production ML pipelines,
Apache TVM,Serving,Inference,OSS,https://github.com/apache/tvm,Apache,,2017,,,,"Apache TVM (incubating) is a compiler stack for deep learning systems. It is designed to close the gap between the productivity-focused deep learning frameworks, and the performance- and efficiency-focused hardware backends. TVM works with deep learning frameworks to provide end to end compilation to different backends.",
TensorRT,Serving,Inference,OSS,https://github.com/NVIDIA/TensorRT,NVIDIA,,2019,Bay Area,,,NVIDIA TensorRT™ is an SDK for high-performance deep learning inference. It includes a deep learning inference optimizer and runtime that delivers low latency and high-throughput for deep learning inference applications.,
MNN,Serving,Inference,OSS,https://github.com/alibaba/MNN,Alibaba,,2019,China,,,MNN is a lightweight deep neural network inference engine.,
ncnn,Serving,Mobile,OSS,https://github.com/Tencent/ncnn,Tencent,,2017,Shenzhen,,,ncnn is a high-performance neural network inference framework optimized for the mobile platform,
ML Kit,Serving,Mobile,OSS,https://github.com/googlesamples/mlkit,Google,,2018,Bay Area,,,ML Kit beta brings Google's machine learning expertise to mobile developers in a powerful and easy-to-use package.,
TensorFlow Lite,Serving,Mobile,OSS,https://github.com/tensorflow/tflite-support,Google,,2019,Bay Area,,https://www.tensorflow.org/lite,TensorFlow Lite is an open source deep learning framework for on-device inference.,
Neural Network Distiller,Serving,Model compression,OSS,https://github.com/IntelLabs/distiller,Intel,,2018,Bay Area,,,"Distiller is an open-source Python package for neural network compression research. Network compression can reduce the memory footprint of a neural network, increase its inference speed and save energy. Distiller provides a PyTorch environment for prototyping and analyzing compression algorithms, such as sparsity-inducing methods and low-precision arithmetic.",
Evidently AI,Serving,Monitoring,OSS,https://github.com/evidentlyai/evidently,,0,2020,Russia,New,https://evidentlyai.com/,"Open-source tools to analyze, monitor, and debug machine learning model in production",
Seldon,Serving,Serving,OSS,https://github.com/SeldonIO/seldon-core,A,13.7,2011,UK,Raised 9.4M,https://www.seldon.io/,"Manage, serve and scale models built in any framework on Kubernetes. Take your ML projects from POC to production.",
Apache Flink,Serving,Stream processing,OSS,https://github.com/apache/flink,Apache,,2011,Germany,,,Apache Flink is an open source stream processing framework with powerful stream- and batch-processing capabilities,
Apache Kafka,Serving,Stream storage,OSS,https://github.com/apache/kafka,Apache,,2011,Bay Area,,,"Apache Kafka is an open-source stream-processing software platform developed by LinkedIn and donated to the Apache Software Foundation, written in Scala and Java. The project aims to provide a unified, high-throughput, low-latency platform for handling real-time data feeds.",
PredictionIO,Serving,Web,OSS,https://github.com/apache/predictionio,Salesforce,,2013,Bay Area,,https://predictionio.apache.org/,"Apache PredictionIO is an open source machine learning framework for developers, data scientists, and end users. It supports event collection, deployment of algorithms, evaluation, querying predictive results via REST APIs. It is based on scalable open source services like Hadoop, HBase (and other DBs), Elasticsearch, Spark and implements what is called a Lambda Architecture.",
Clipper,Serving,Web,OSS,https://github.com/ucbrise/clipper,Berkeley,,2017,Bay Area,,http://clipper.ai/,Clipper is a low-latency prediction serving system for machine learning. Clipper makes it simple to integrate machine learning into user-facing serving systems.,
Cortex,Serving,Web,OSS,https://github.com/cortexlabs/cortex,,0,2019,Bay Area,,https://www.cortex.dev/,Cortex is an open source platform for deploying machine learning models as production web services.,
